sid,name,manufacturer,game_type,denomination,volatility_text,volatility_score,location,map_url,source_url,casino,scraped_at
758,Mega Money Catch (Md)(Prog),Incredible Technologies,Video,$0.05,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=758,https://www.coushattacasinoresort.com/slot-map.php?sid=758,Coushatta Casino Resort,2026-08-27T20:35:29.450255+00:00
1586,Mega Power Buffalo (Mc) (Md) (Pr),Aristocrat,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1586,https://www.coushattacasinoresort.com/slot-map.php?sid=1586,Coushatta Casino Resort,2026-08-27T20:35:43.362651+00:00
1585,Mega Power Timberwolf (Mc) (Md) (P),Aristocrat,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1585,https://www.coushattacasinoresort.com/slot-map.php?sid=1585,Coushatta Casino Resort,2026-08-27T20:35:43.356972+00:00
2613,Midnight Express Fat Rhino Md (Pr),Aristocrat,Video,$0.01,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=2613,https://www.coushattacasinoresort.com/slot-map.php?sid=2613,Coushatta Casino Resort,2026-08-27T20:36:04.705323+00:00
2614,Midnight Express Jungle Beat Md Pr,Aristocrat,Video,$0.01,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=2614,https://www.coushattacasinoresort.com/slot-map.php?sid=2614,Coushatta Casino Resort,2026-08-27T20:36:04.725855+00:00
2612,Midnight Express Mr. Big (Md) (Pr),Aristocrat,Video,$0.01,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=2612,https://www.coushattacasinoresort.com/slot-map.php?sid=2612,Coushatta Casino Resort,2026-08-27T20:36:04.692016+00:00
618,Miner'S Dream Red (Mc) (Md) (Prog),IGT,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=618,https://www.coushattacasinoresort.com/slot-map.php?sid=618,Coushatta Casino Resort,2026-08-27T20:35:26.613523+00:00
650,Mistress Of Egypt (Md) {Car Bank},IGT,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=650,https://www.coushattacasinoresort.com/slot-map.php?sid=650,Coushatta Casino Resort,2026-08-27T20:35:27.247613+00:00
651,Mistress Of Egypt (Md) {Car Bank},IGT,Video,$0.02,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=651,https://www.coushattacasinoresort.com/slot-map.php?sid=651,Coushatta Casino Resort,2026-08-27T20:35:27.264446+00:00
652,Mistress Of Egypt (Md) {Car Bank},IGT,Video,$0.05,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=652,https://www.coushattacasinoresort.com/slot-map.php?sid=652,Coushatta Casino Resort,2026-08-27T20:35:27.304308+00:00
704,Mo Mo Mo Mummy Midnight Treasures Md Pr,Aristocrat,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=704,https://www.coushattacasinoresort.com/slot-map.php?sid=704,Coushatta Casino Resort,2026-08-27T20:35:28.297362+00:00
1052,Mo Mo Mo Mummy Midnight Treasures Md Pr,Aristocrat,Video,$0.02,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1052,https://www.coushattacasinoresort.com/slot-map.php?sid=1052,Coushatta Casino Resort,2026-08-27T20:35:34.851984+00:00
1053,Mo Mo Mo Mummy Midnight Treasures Md Pr,Aristocrat,Video,$0.05,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1053,https://www.coushattacasinoresort.com/slot-map.php?sid=1053,Coushatta Casino Resort,2026-08-27T20:35:34.875660+00:00
1054,Mo Mo Mo Mummy Midnight Treasures Md Pr,Aristocrat,Video,$0.10,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1054,https://www.coushattacasinoresort.com/slot-map.php?sid=1054,Coushatta Casino Resort,2026-08-27T20:35:34.891682+00:00
703,Mo Mo Mo Mummy Sunlight Riches Mc Md Pr,Aristocrat,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=703,https://www.coushattacasinoresort.com/slot-map.php?sid=703,Coushatta Casino Resort,2026-08-27T20:35:28.247825+00:00
1056,Mo Mo Mo Mummy Sunlight Riches Mc Md Pr,Aristocrat,Video,$0.02,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1056,https://www.coushattacasinoresort.com/slot-map.php?sid=1056,Coushatta Casino Resort,2026-08-27T20:35:34.884483+00:00
1057,Mo Mo Mo Mummy Sunlight Riches Mc Md Pr,Aristocrat,Video,$0.05,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1057,https://www.coushattacasinoresort.com/slot-map.php?sid=1057,Coushatta Casino Resort,2026-08-27T20:35:34.897429+00:00
1058,Mo Mo Mo Mummy Sunlight Riches Mc Md Pr,Aristocrat,Video,$0.10,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1058,https://www.coushattacasinoresort.com/slot-map.php?sid=1058,Coushatta Casino Resort,2026-08-27T20:35:34.949357+00:00
366,Mo Mummy Spooky (Mc) (Md) (Prog),Aristocrat,Video,$0.01,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=366,https://www.coushattacasinoresort.com/slot-map.php?sid=366,Coushatta Casino Resort,2026-08-27T20:35:22.039707+00:00
