[0/1] Trying Coushatta's %%% wildcard search…
[0/5000] Wildcard endpoint unavailable; scanning public SID records…
[3220/5000] Scanning Coushatta SID 3219; found 3220 valid records
[3240/5000] Scanning Coushatta SID 3240; found 3240 valid records
[3260/5000] Scanning Coushatta SID 3259; found 3260 valid records
[3280/5000] Scanning Coushatta SID 3281; found 3280 valid records
[3300/5000] Scanning Coushatta SID 3300; found 3300 valid records
[3320/5000] Scanning Coushatta SID 3320; found 3320 valid records
[3340/5000] Scanning Coushatta SID 3340; found 3340 valid records
[3360/5000] Scanning Coushatta SID 3360; found 3360 valid records
[3380/5000] Scanning Coushatta SID 3380; found 3380 valid records
[3400/5000] Scanning Coushatta SID 3402; found 3400 valid records
[3420/5000] Scanning Coushatta SID 3419; found 3420 valid records
[3440/5000] Scanning Coushatta SID 3440; found 3440 valid records
[3460/5000] Scanning Coushatta SID 3460; found 3460 valid records
[3480/5000] Scanning Coushatta SID 3480; found 3480 valid records
[3500/5000] Scanning Coushatta SID 3500; found 3500 valid records
[3520/5000] Scanning Coushatta SID 3520; found 3520 valid records
[3540/5000] Scanning Coushatta SID 3540; found 3540 valid records
[3560/5000] Scanning Coushatta SID 3560; found 3560 valid records
[3580/5000] Scanning Coushatta SID 3581; found 3580 valid records
[3600/5000] Scanning Coushatta SID 3601; found 3600 valid records
[3620/5000] Scanning Coushatta SID 3618; found 3620 valid records
[3640/5000] Scanning Coushatta SID 3640; found 3640 valid records
[3660/5000] Scanning Coushatta SID 3662; found 3660 valid records
[3680/5000] Scanning Coushatta SID 3681; found 3680 valid records
[3700/5000] Scanning Coushatta SID 3700; found 3700 valid records
[3720/5000] Scanning Coushatta SID 3721; found 3720 valid records
[3740/5000] Scanning Coushatta SID 3740; found 3740 valid records
[3760/5000] Scanning Coushatta SID 3760; found 3760 valid records
[3780/5000] Scanning Coushatta SID 3779; found 3780 valid records
[3800/5000] Scanning Coushatta SID 3800; found 3800 valid records
[3820/5000] Scanning Coushatta SID 3820; found 3820 valid records
[3840/5000] Scanning Coushatta SID 3841; found 3840 valid records
[3860/5000] Scanning Coushatta SID 3859; found 3860 valid records
[3880/5000] Scanning Coushatta SID 3881; found 3880 valid records
[3900/5000] Scanning Coushatta SID 3900; found 3900 valid records
[3920/5000] Scanning Coushatta SID 3919; found 3920 valid records
[3940/5000] Scanning Coushatta SID 3940; found 3940 valid records
[3960/5000] Scanning Coushatta SID 3958; found 3960 valid records
[3980/5000] Scanning Coushatta SID 3976; found 3980 valid records
[4000/5000] Scanning Coushatta SID 4001; found 4000 valid records
[4020/5000] Scanning Coushatta SID 4020; found 4020 valid records
[4040/5000] Scanning Coushatta SID 4040; found 4040 valid records
[4060/5000] Scanning Coushatta SID 4060; found 4060 valid records
[4080/5000] Scanning Coushatta SID 4079; found 4080 valid records
[4100/5000] Scanning Coushatta SID 4101; found 4100 valid records
[4120/5000] Scanning Coushatta SID 4121; found 4120 valid records
[4140/5000] Scanning Coushatta SID 4140; found 4140 valid records
[4160/5000] Scanning Coushatta SID 4159; found 4160 valid records
[4180/5000] Scanning Coushatta SID 4179; found 4180 valid records
[4200/5000] Scanning Coushatta SID 4202; found 4200 valid records
[4220/5000] Scanning Coushatta SID 4220; found 4220 valid records
[4240/5000] Scanning Coushatta SID 4240; found 4240 valid records
[4260/5000] Scanning Coushatta SID 4261; found 4260 valid records
[4280/5000] Scanning Coushatta SID 4280; found 4280 valid records
[4300/5000] Scanning Coushatta SID 4300; found 4300 valid records
[4320/5000] Scanning Coushatta SID 4322; found 4320 valid records
[4340/5000] Scanning Coushatta SID 4338; found 4340 valid records
[4360/5000] Scanning Coushatta SID 4360; found 4360 valid records
[4380/5000] Scanning Coushatta SID 4380; found 4380 valid records
[4400/5000] Scanning Coushatta SID 4399; found 4400 valid records
[4420/5000] Scanning Coushatta SID 4419; found 4420 valid records
[4440/5000] Scanning Coushatta SID 4440; found 4440 valid records
[4460/5000] Scanning Coushatta SID 4460; found 4460 valid records
[4480/5000] Scanning Coushatta SID 4480; found 4480 valid records
[4500/5000] Scanning Coushatta SID 4499; found 4500 valid records
[4520/5000] Scanning Coushatta SID 4519; found 4520 valid records
[4540/5000] Scanning Coushatta SID 4539; found 4540 valid records
[4560/5000] Scanning Coushatta SID 4558; found 4560 valid records
[4580/5000] Scanning Coushatta SID 4580; found 4580 valid records
[4600/5000] Scanning Coushatta SID 4600; found 4600 valid records
[4620/5000] Scanning Coushatta SID 4620; found 4620 valid records
[4640/5000] Scanning Coushatta SID 4640; found 4640 valid records
[4660/5000] Scanning Coushatta SID 4661; found 4660 valid records
[4680/5000] Scanning Coushatta SID 4680; found 4680 valid records
[4700/5000] Scanning Coushatta SID 4700; found 4700 valid records
[4720/5000] Scanning Coushatta SID 4721; found 4720 valid records
[4740/5000] Scanning Coushatta SID 4741; found 4740 valid records
[4760/5000] Scanning Coushatta SID 4760; found 4760 valid records
[4780/5000] Scanning Coushatta SID 4779; found 4780 valid records
[4800/5000] Scanning Coushatta SID 4801; found 4800 valid records
[4820/5000] Scanning Coushatta SID 4820; found 4820 valid records
[4840/5000] Scanning Coushatta SID 4841; found 4840 valid records
[4860/5000] Scanning Coushatta SID 4861; found 4860 valid records
[4880/5000] Scanning Coushatta SID 4880; found 4880 valid records
[4900/5000] Scanning Coushatta SID 4901; found 4900 valid records
[4920/5000] Scanning Coushatta SID 4920; found 4920 valid records
[4940/5000] Scanning Coushatta SID 4941; found 4940 valid records
[4960/5000] Scanning Coushatta SID 4959; found 4960 valid records
[4980/5000] Scanning Coushatta SID 4981; found 4980 valid records
[5000/5000] Scanning Coushatta SID 4997; found 5000 valid records
{
  "records": 5000,
  "unique_games": 1304,
  "manufacturers": 13,
  "denominations": 16,
  "volatility_known": 4068
}
Validated 5000 Coushatta machine records / 1304 unique titles
